,PARIS,MARSEILLE,LYON,TOULOUSE,NICE,NANTES,STRASBOURG,MONTPELLIER,BORDEAUX,LILLE,RENNES,REIMS,LE HAVRE,SAINT-ETIENNE,TOULON,GRENOBLE,DIJON,ANGERS,VILLEURBANNE,LE MANS,NIMES,AIX-EN-PROVENCE,BREST,CLERMONT-FERRAND,LIMOGES,TOURS,AMIENS,METZ,PERPIGNAN,BESANCON,BOULOGNE-BILLANCOURT,ORLEANS,ROUEN,MULHOUSE,CAEN,NANCY,SAINT-PAUL,ARGENTEUIL,MONTREUIL,ROUBAIX,DUNKERQUE,TOURCOING,CRETEIL,AVIGNON,NANTERRE,POITIERS,COURBEVOIE,FORT-DE-FRANCE,VERSAILLES,VITRY-SUR-SEINE
1,0.0,661.0,392.0,589.0,686.0,342.0,397.0,596.0,499.0,203.0,309.0,130.0,175.0,411.0,696.0,483.0,262.0,264.0,393.0,184.0,579.0,638.0,504.0,346.0,344.0,205.0,115.0,280.0,688.0,327.0,7.0,109.0,111.0,389.0,199.0,283.0,1737.0,12.0,6.0,212.0,243.0,214.0,12.0,577.0,11.0,294.0,7.0,12273.0,16.0,9.0
2,661.0,0.0,277.0,320.0,157.0,695.0,615.0,125.0,504.0,834.0,763.0,669.0,797.0,249.0,49.0,209.0,447.0,654.0,277.0,659.0,101.0,26.0,950.0,330.0,432.0,583.0,770.0,651.0,213.0,442.0,661.0,580.0,757.0,518.0,788.0,602.0,2309.0,673.0,659.0,839.0,891.0,842.0,649.0,85.0,669.0,539.0,667.0,11635.0,660.0,651.0
3,392.0,277.0,0.0,360.0,297.0,515.0,383.0,251.0,435.0,557.0,558.0,392.0,545.0,49.0,306.0,94.0,173.0,453.0,3.0,431.0,217.0,251.0,764.0,136.0,278.0,365.0,497.0,388.0,375.0,189.0,393.0,328.0,496.0,291.0,544.0,340.0,2093.0,404.0,390.0,563.0,615.0,565.0,381.0,201.0,401.0,358.0,399.0,11911.0,395.0,383.0
4,589.0,320.0,360.0,0.0,468.0,464.0,737.0,197.0,210.0,791.0,553.0,658.0,663.0,311.0,367.0,382.0,498.0,456.0,363.0,498.0,235.0,322.0,702.0,275.0,250.0,424.0,703.0,714.0,155.0,541.0,585.0,481.0,649.0,650.0,635.0,673.0,2062.0,598.0,590.0,800.0,831.0,801.0,581.0,274.0,592.0,342.0,592.0,11700.0,580.0,581.0
5,686.0,157.0,297.0,468.0,0.0,789.0,544.0,271.0,634.0,832.0,845.0,664.0,842.0,296.0,124.0,203.0,438.0,736.0,296.0,725.0,233.0,147.0,1043.0,402.0,530.0,654.0,785.0,609.0,371.0,405.0,687.0,625.0,792.0,450.0,842.0,559.0,2387.0,698.0,683.0,836.0,895.0,839.0,674.0,197.0,695.0,629.0,693.0,11669.0,689.0,676.0
6,342.0,695.0,515.0,464.0,789.0,0.0,709.0,584.0,275.0,507.0,96.0,471.0,282.0,497.0,742.0,603.0,495.0,80.0,518.0,157.0,593.0,681.0,255.0,388.0,262.0,169.0,411.0,610.0,612.0,572.0,334.0,270.0,314.0,669.0,236.0,599.0,1615.0,341.0,348.0,518.0,512.0,518.0,345.0,614.0,335.0,159.0,338.0,12128.0,325.0,341.0
7,397.0,615.0,383.0,737.0,544.0,709.0,0.0,629.0,758.0,407.0,699.0,281.0,564.0,432.0,623.0,410.0,247.0,629.0,380.0,562.0,589.0,589.0,900.0,470.0,577.0,542.0,421.0,130.0,756.0,195.0,404.0,439.0,495.0,97.0,595.0,114.0,2089.0,405.0,391.0,405.0,473.0,407.0,388.0,562.0,408.0,598.0,404.0,12208.0,412.0,393.0
8,596.0,125.0,251.0,197.0,271.0,584.0,629.0,0.0,380.0,784.0,658.0,628.0,715.0,207.0,174.0,227.0,422.0,551.0,253.0,566.0,45.0,125.0,837.0,250.0,325.0,488.0,710.0,639.0,130.0,439.0,595.0,504.0,682.0,533.0,700.0,592.0,2199.0,607.0,596.0,791.0,836.0,793.0,586.0,84.0,603.0,433.0,602.0,11679.0,593.0,587.0
9,499.0,504.0,435.0,210.0,634.0,275.0,758.0,380.0,0.0,699.0,371.0,601.0,521.0,395.0,553.0,495.0,511.0,292.0,438.0,356.0,406.0,499.0,496.0,304.0,181.0,299.0,603.0,699.0,365.0,575.0,493.0,391.0,526.0,687.0,483.0,669.0,1853.0,505.0,503.0,709.0,724.0,710.0,496.0,438.0,498.0,206.0,500.0,11855.0,486.0,493.0
10,203.0,834.0,557.0,791.0,832.0,507.0,407.0,784.0,699.0,0.0,445.0,168.0,244.0,586.0,863.0,639.0,395.0,439.0,557.0,358.0,762.0,809.0,598.0,539.0,548.0,400.0,98.0,277.0,884.0,434.0,208.0,313.0,194.0,445.0,292.0,312.0,1683.0,196.0,201.0,10.0,67.0,10.0,210.0,754.0,202.0,493.0,201.0,12463.0,214.0,211.0
